501203,40,1
501204,38,5
501205,175,2
501205,64,9
501206,133,7
501206,41,6
501207,27,10
501208,40,1
501209,38,5
501209,41,6
501210,175,2
501210,133,7
501212,64,9
501212,27,10
598003,40,1
598003,64,6
598004,8,2
598004,3,7
598005,26,11
598005,191,10
598006,6,5
598006,64,6
598007,3,7
598008,191,10
598010,6,5
598010,40,1
598011,3,7
598011,64,6
598013,8,2
598013,40,1
829710,57,7
829710,40,1
829712,154,6
829714,306,5
829714,197,4
829716,187,11
829718,8,2
829718,40,1
829720,154,6
829720,306,5
829722,57,7
829722,197,4
829724,8,2
829724,187,11
829726,57,7
829726,306,5
829728,40,1
1082591,32,2
1082591,187,11
1082592,57,7
1082592,306,12
1082593,21,13
1082593,40,1
1082594,305,4
1082594,306,12
1082595,15,6
1082595,32,2
1082596,21,13
1082596,187,11
1082597,40,1
1082597,57,7
1082598,32,2
1082598,305,4
1082599,15,6
1082599,85,12
1082600,57,7
1082600,187,11
